species,gram_stain,pathogenicity,notes
Sinorhizobium meliloti,Gram-negative,Non-pathogenic,Nitrogen-fixing
Sphingomonas paucimobilis,Gram-negative,Non-pathogenic,Environmental
Staphylococcus aureus,Gram-positive,Pathogenic,
Staphylococcus epidermidis,Gram-positive,Opportunistic Pathogen,
Staphylococcus saprophyticus,Gram-positive,Pathogenic (UTI),
Streptococcus agalactiae,Gram-positive,Pathogenic,
Streptococcus mutans,Gram-positive,Pathogenic (dental caries),
Streptococcus pneumoniae,Gram-positive,Pathogenic,
Streptococcus pyogenes,Gram-positive,Pathogenic,
Streptococcus salivarius,Gram-positive,Non-pathogenic,Oral commensal
Streptococcus thermophilus,Gram-positive,Non-pathogenic,Dairy starter
Vibrio campbellii,Gram-negative,Non-pathogenic,Marine
Vibrio cholerae,Gram-negative,Pathogenic,
Vibrio parahaemolyticus,Gram-negative,Pathogenic,
Vibrio vulnificus,Gram-negative,Pathogenic,
Weissella cibaria,Gram-positive,Non-pathogenic,Fermentation
Yersinia pestis,Gram-negative,Pathogenic,
